Name,Address,Phone_Number,Zip_Code
Caribou Coffee,3300 N Broadway St ,773-477-3695,60657
Caribou Coffee,311 W Monroe St ,312-920-9746,60606
Caribou Coffee,3025 N Clark St ,773-529-6366,60657
Caribou Coffee,811 W Maxwell St ,312-738-3570,60608
Caribou Coffee,1611 N Damen Ave ,773-772-0846,60647
Caribou Coffee,500 W Madison St ,312-463-1130,60661
Caribou Coffee,20 N Michigan Ave ,312-456-0751,60602
Caribou Coffee,222 S Riverside Plz ,312-207-0853,60606
Caribou Coffee,3240 N Ashland Ave ,773-281-3362,60657
Caribou Coffee,3500 N Halsted St ,773-248-0856,60657
Caribou Coffee,55 W Monroe St ,312-214-0852,60603
Caribou Coffee,600 N Kingsbury St ,312-335-0576,60654
Charmers,1500 W Jarvis Ave ,773-743-2233,60626
Charmers Café,1500 W Jarvis Ave ,773-743-2233,60626
Cherubs,2524 W Fullerton Ave ,773-235-8103,60647
ChiTown Sandwich Club,2921 North Clark Street ,773-697-3271,60657
Clean Bean,1308 W Randolph St ,312-243-9750,60607
Cocoa + Co,1651 N Wells St ,312-624-8540,60614
Coffee & Tea Peets,21 E Chestnut St ,312-635-5918,60611
Coffee And Cream,4645 N Broadway St ,773-754-7572,60640
Coffee Liberte,4807 N Spaulding Ave ,773-588-2165,60625
Coffee Shop,2605 W Lawrence Ave ,773-516-4771,60625
Coffee Shop,3317 W Armitage Ave ,773-904-7051,60647
Coffee Slasticarna Drina,2501 W Lawrence Ave ,773-275-5568,60625
Coffee Studio,5628 N Clark St ,773-271-7881,60660
Coffee Unlimited,1408 S Clinton St ,312-733-2800,60607
Corey's NYC Bagel Deli,515 N Dearborn Street ,312-923-9999,60654
Coronas Coffee Shop,909 W Irving Park Rd ,773-529-1886,60613
Costa Caffe,4801 N Milwaukee Ave ,773-639-2805,60630
Crepes A Latte The Café,1840 W Irving Park Rd ,773-549-4444,60613
Cup And Spoon,2415 W North Ave ,773-697-4421,60647
Cupitol Coffee & Eatery,455 E. Chicago,312-414-1400,LINOIS
Dark Matter Coffee,738 N Western Ave ,773-697-8472,60612
Dark Matter Coffee,1117 W Belmont Ave ,773-360-7553,60657
Delicious Café,3827 N Lincoln Ave ,773-661-2190,60613
Dolce Casa Café,4947 N Damen Ave ,773-506-0708,60625
Dollop Coffee And Tea,4181 N Clarendon Ave ,773-360-1366,60613
Dollop ,343 S Dearborn St ,312-374-4363,60604
Donut And Ice Cream Expresso,151 N Michigan Ave ,312-819-0672,60601
Edgebrook Coffee Shop,6322 N Central Ave ,773-792-1433,60646
Efebina's Café,1640 S Blue Island Ave ,312-243-9790,60608
Einstein Bros. Bagels,30 N La Salle St ,312-346-5110,60602
Einstein Bros. Bagels,109 E Pearson St ,312-881-5056,60611
Einstein Bros. Bagels,400 N Dearborn St ,312-755-0413,60654
Ellipsis Coffee House,1259 W Devon Ave ,773-654-1589,60660
Espression By Lavazza,140 E Walton Pl ,312-640-2440,60611
Espresso Thy Art,4019 N Damen Ave ,773-248-1935,60618
Expresso Brewery,1030 N Rush St ,312-642-9181,60290
Fabcakes,714 N Wells St ,312-397-3300,60654
Filter,1373 N Milwaukee Ave ,773-904-7819,60622
Fire House Hooka,3001 W Irving Park Rd ,773-267-3473,60618
Freevo,332 S Michigan Ave ,505-500-0000,60604
Grand Katachi,4747 N Damen Ave ,773-271-4541,60625
Hebo Coffee,1723 W Devon Ave ,773-274-0800,60660
Hero Coffee Bar,439 S Dearborn St ,312-631-3269,60605
Hope Coffee House,2431 W Roosevelt Rd ,312-666-5995,60608
House Of Hookah,607 W Belmont Ave ,773-348-1550,60657
Icosium Kafe,5200 N Clark St ,773-271-5233,60640
Intelligentsia Coffe,55 E Randolph St ,312-920-9332,60601
Intelligentsia Coffee,1863 W Carroll Ave ,312-733-5936,60612
Ipsento,2035 N Western Ave ,773-904-8177,60647
Java N Mug,3247 W Bryn Mawr Ave ,773-539-0407,60659
Julius Meinl,4363 N Lincoln Ave ,773-868-1876,60618
Jupiter Coffee Inc,1139 W Fulton Market ,312-226-5768,60607
Kickstand,824 W Belmont Ave ,773-661-9341,60657
King Grill,6321 S Halsted St ,773-892-1080,60621
Kitchen Sink,1107 W Berwyn Ave ,773-944-0592,60640
Kristoffer's Cafe & Bakery,1733 S Halsted St ,312-829-4150,60608
La Catrina Café,1011 W 18th St ,312-465-2381,60608
La Colombe Torrefaction,955 W Randolph St ,312-733-0707,60607
Lavazza Cofee Café,162 E Ohio St ,312-255-8850,60611
Lavazza Company,111 W Jackson Blvd ,312-447-0000,60604
Lavazza Company,33 N Dearborn St ,312-977-9971,60602
Le Pain Quotidien,1000 West Armitage Ave ,773-770-4341,60614
Le Pain Quotidien,10 E Delaware Pl ,312-380-6665,60611
Le Pain Quotidien,20 N Michigan Ave ,312-488-1902,60602
Le Pain Quotidien,135 N Clinton St ,312-234-0900,60661
Looseleaf Lounge,2915 N Broadway St ,773-348-7881,60657
Loving Heart,838 W Montrose Ave ,773-561-5399,60613
Malibu Internet Café,2735 N Milwaukee Ave ,773-772-7805,60647
Matcha Obsession,433 W Harrison St ,201-862-8242,60699
Metra Coffee Shop 1,2427 W Hubbard St ,312-265-1121,60612
Metropolis Coffee,10000 W Ohare Ave ,773-908-9317,60666
Michael's Goumet Coffee,7714 W Belmont Ave ,773-625-5362,60634
Mr Allen Coffee Shop,1022 W 63rd St ,773-434-4494,60621
Muppet,5155 N Lincoln Ave ,773-728-2354,60625
Necessary & Sufficient Coffee,3624 W. Wrightwood Av ,310-663-9633,60647
Nefertiti Gourmet Coffee Inc,2117 E 97th Street ,773-619-8061,60617
Nefertiti Gourmet Coffee, 2117 East 97th Street ,773-619-8061,60617
New Wave Coffee,2557 N Milwaukee Ave ,773-489-0646,60647
Nextions,302 E 18th St ,312-846-6642,60616
Nitecap Coffee Bar,1738 W 18th St ,312-846-1149,60608
No Exit Café,6970 N Glenwood Ave ,773-743-3355,60626
Noble Tree,2444 N Clark St ,773-248-1500,60614
Nordstrom Ebar Artisan Coffee,55 East Grand Avenue ,312-464-1515,60611
Olympic Club Inc,2615 W Lawrence Ave ,773-293-1450,60625
Panera Bread,4244 N Harlem Avenue Norridge ,708-452-0176,60706
Panera Bread,501 South State Street ,312-922-1566,60605
Panera Bread,2 N. Michigan Ave ,312-332-6895,60602
Panera Bread,6059 North Lincoln Avenue ,773-442-8210,60659
Panera Bread,400 West Division Street ,312-337-2304,60610
Panera Bread,2310 W Logan Boulevard ,773-342-2804,60647
Panera Bread,1101 South Canal Street ,312-786-1761,60607
Peet's Coffee,10 S La Salle St ,312-489-5076,60603
Peet's Coffee,41 E 8th St ,312-489-5097,60605
Peet's Coffee,1328 S Halsted St ,312-489-5127,60607
Peet's Coffee,600 N Kingsbury St ,312-489-5061,60654
Peet's Coffee,3025 N Clark St ,773-360-5558,60657
Peet's Coffee,222 S Riverside Plaza,312-489-5099,60606
Peet's Coffee,400 N Michigan Ave Ste ,312-625-5531,60611
Peet's Coffee,3500 N Halsted St ,773-360-5280,60657
Peet's Coffee,1000 W North Ave ,312-475-9782,60642
Peet's Coffee,20 N Michigan Ave ,312-489-5066,60602
Peet's Coffee & Tea,3500 N Halsted St ,773-360-5280,60657
Peet's Coffee & Tea,10 S La Salle St ,312-489-5076,60603
Peet's Coffee & Tea,600 N Kingsbury St ,312-489-5061,60654
Peet's Coffee & Tea,410 N Michigan Ave ,312-625-5531,60611
Peet's Coffee & Tea,222 S Riverside Plaza,312-489-5099,60606
Peet's Coffee & Tea,20 N Michigan Ave ,312-489-5066,60602
Peet's Coffee & Tea,41 E 8th St ,312-489-5097,60605
Peet's Coffee & Tea,1000 W North Ave ,312-475-9782,60642
Peet's Coffee & Tea,400 N Michigan Ave Ste 120 ,312-625-5531,60611
Peet's Coffee & Tea,3025 N Clark St ,773-360-5558,60657
Plovdiv,3953 W Lawrence Ave ,773-583-4037,60625
Portage Grounds,5501 W Irving Park Rd ,773-930-3693,60641
Red Eye Café,4164 N Lincoln Ave ,773-327-9478,60618
Red June,2020 N Leavitt St ,773-227-2600,60647
Rescue,1456 N Dayton St ,312-202-0231,60642
Robust Coffe Lounge,416 W Ontario St ,312-526-3420,60654
Robust Coffee Lounge,6300 S Woodlawn Ave ,773-891-4240,60637
Robust Coffee Lounge,416 W Ontario St ,312-526-3420,60654
Sara's Services Inc,13730 S Brainard Ave ,773-646-0392,60633
Saugatuck Coffee Co,3344 N Halsted St ,773-857-3002,60657
Savbet,4768 N Lincoln Ave ,773-769-3543,60625
Sip Coffee House,1223 W Grand Ave ,312-492-7686,60642
Some Like It Black Coffee,6838 S Ridgeland Ave ,773-420-3850,60649
Some Like It Black Coffee Club & Gallery,1904 S Michigan Ave ,312-225-4140,60616
Star Lounge Coffee Company,2521 W Chicago,773-384-7827,60622
Starbucks,175 W Jackson Blvd ,312-566-0792,60604
Starbucks,2577 N Elston Ave ,773-227-2936,60647
Starbucks,1530 E 53rd St ,773-324-1241,60615
Starbucks,3506 S State St,773-536-3126,60609
Starbucks,2525 N Clark St ,773-296-0898,60614
Starbucks,1430 W Taylor St ,312-492-7370,60607
Starbucks,303 W Madison St ,312-781-9845,60606
Starbucks,6350 N Broadway St ,773-274-2638,60660
Starbucks,5300 N Clark St ,773-728-2777,60640
Starbucks,10 S Riverside Plaza,312-441-1919,60606
Starbucks,1000 W Diversey Pkwy ,773-665-1888,60614
Starbucks,66 W Washington St ,312-269-9335,60602
Starbucks,633 N Saint Clair St ,312-787-2038,60611
Starbucks,227 W Monroe St ,312-346-4360,60606
Starbucks,4553 N Lincoln Ave ,773-878-5609,60625
Starbucks,600 N State St ,312-573-0033,60654
Starbucks,1174 E 55th St ,773-256-1930,60615
Starbucks,555 S Dearborn St ,312-922-8910,60605
Starbucks,1023 W Addison St,773-929-0945,60613
Starbucks,2023 W Roscoe St ,773-281-6272,60618
Starbucks4830 N Pulaski Rd Ste A ,,773-282-9503,60630
Starbucks,5406 W Devon Ave ,773-631-4791,60646
Starbucks,8 N Michigan Ave ,312-750-1454,60602
Starbucks,111 W Washington St ,312-372-1331,60602
Starbucks,42 E Chicago,312-951-6932,60611
Starbucks,430 N Clark St ,312-670-3920,60654
Starbucks,6108 N Western Ave ,773-274-1640,60659
Starbucks,6075 N Lincoln Ave ,773-279-0513,60659
Starbucks,2063 N Clark St ,773-525-6231,60614
Starbucks,30 N La Salle St ,312-263-0925,60602
Starbucks,828 N State St ,312-751-1676,60610
Starbucks,30 W Erie St ,312-274-9546,60654
Starbucks,1245 W Fullerton Ave ,773-327-9761,60614
Starbucks,1933 W 103rd St ,773-239-7139,60643
Starbucks,210 W North Ave ,312-867-0186,60610
Starbucks,1599 N Clybourn Ave ,312-787-0168,60642
Starbucks,233 S Wacker Dr ,312-559-9930,60606
Starbucks,4558 N Kedzie Ave ,773-267-1579,60625
Starbucks,209 W Jackson Blvd ,312-341-9850,60606
Starbucks,401 E Ontario St ,312-951-7242,60611
Starbucks,3358 N Broadway ,773-528-0343,60657
Starbucks,1 E Delaware Pl Ste 1 ,312-274-9549,60611
Starbucks,1001 W Armitage Ave ,773-528-1340,60614
Starbucks,1230 N Wells St ,312-622-3312,60610
Starbucks,171 W Randolph St ,312-332-5298,60601
Starbucks,1001A W Madison St ,312-421-7073,60607
Starbucks,2101 W Armitage Ave ,773-486-4771,60647
Starbucks,1538 N Clark St ,312-337-6481,60610
Starbucks,161 N Clark St ,312-641-0320,60601
Starbucks,25 E Washington St ,312-920-0473,60602
Starbucks,830 N Michigan Ave ,312-848-7917,60611
Starbucks,160 W 87th St,773-651-7623,60620
Starbucks,617 W Diversey Pkwy ,773-880-5172,60614
Starbucks,444 N Michigan Ave ,312-832-9851,60611
Starbucks,1229 N Clybourn Ave ,312-587-9063,60610
Starbucks,139 S Clinton St ,312-756-9087,60661
Starbucks,100 S Halsted St ,312-226-3658,60661
Starbucks,40 W Lake St ,312-553-0244,60601
Starbucks,100 S Wacker Dr ,312-759-5559,60606
Starbucks,150 N Wacker Dr ,312-704-0655,60606
Starbucks,1700 W Diversey Pkwy ,773-665-8650,60614
Starbucks,550 W Van Buren St ,312-431-0226,60607
Starbucks,39 S La Salle St ,312-781-0854,60603
Starbucks,39 W Division St ,312-951-6992,60610
Starbucks,231 S La Salle St ,312-553-0373,60604
Starbucks,200 W Adams St ,312-578-9602,60606
Starbucks,3232 W Foster Ave ,773-279-0650,60625
Starbucks,200 E Randolph St ,312-240-1602,60601
Starbucks,31 E Roosevelt Rd ,312-431-1988,60605
Starbucks,4365 W Irving Park Rd ,773-736-5226,60641
Starbucks,40 N Clinton St ,312-463-0331,60661
Starbucks,2159 W Belmont Ave ,773-935-5680,60618
Starbucks,4753 N Broadway St ,773-334-4227,60640
Starbucks,2730 N Narragansett Ave ,773-622-6330,60639
Starbucks,946 W Randolph St,312-850-0079,60607
Starbucks,1730 W Fullerton Ave ,773-248-0602,60614
Starbucks,68 E Madison St ,312-444-9535,60602
Starbucks,38 E Ontario St ,312-951-0662,60611
Starbucks,750 N Franklin St Ste 107 ,312-274-0092,60654
Starbucks,2275 N Lincoln Ave ,773-832-4313,60614
Starbucks,35 E Wacker Dr ,312-541-8317,60601
Starbucks,470 Merchandise Mart ,312-661-0443,60654
Starbucks,105 W Adams St ,312-855-0099,60603
Starbucks,200 W Madison St ,312-726-6620,60606
Starbucks,4701 S Cicero ,773-838-8596,60632
Starbucks,180 N La Salle St ,312-236-1286,60601
Starbucks,131 S State St,312-977-0018,60603
Starbucks,3845 N Broadway St ,773-755-4176,60613
Starbucks,1701 W Division St ,773-252-5084,60622
Starbucks,520 N Ogden Ave ,312-850-1617,60642
Starbucks,55 E Jackson Blvd ,312-786-9201,60604
Starbucks,151 N Michigan Ave ,312-297-0929,60601
Starbucks,311 S Wacker Dr ,312-427-7008,60606
Starbucks,3356 N Lincoln Ave ,773-871-6888,60657
Starbucks,7101 S Stony Island Ave ,773-643-6520,60649
Starbucks,3400 N Southport Ave ,773-975-2071,60657
Starbucks,1070 W Bryn Mawr Ave ,773-271-1998,60660
Starbucks,2200 N Halsted St ,773-935-2622,60614
Starbucks,4600 N Magnolia Ave,773-506-4280,60640
Starbucks,4159 W Peterson Ave ,773-205-7440,60646
Starbucks,3045 N Greenview Ave ,773-832-9080,60657
Starbucks,200 S Michigan Ave ,312-431-1757,60604
Starbucks,334 N Desplaines St ,312-339-2780,60661
Starbucks,225 N Michigan Ave ,312-565-0009,60601
Starbucks,835 N Michigan Ave ,312-505-2620,60611
Starbucks,251 E Huron St ,312-274-1472,60611
Starbucks,2357 W Howard St ,773-465-6058,60645
Starbucks,1101 S Canal St ,312-235-0429,60607
Starbucks,1900 W Montrose Ave ,773-878-0272,60613
Starbucks,1001 W North Ave ,312-255-1352,60642
Starbucks,400 W Madison St ,312-454-1010,60606
Starbucks,1003 N Rush St ,312-951-5436,60611
Starbucks,4015 N Lincoln Ave ,773-348-5776,60618
Starbucks,70 W Madison St ,312-357-0927,60602
Starbucks,3184 N Clark St ,773-935-9270,60657
Starbucks,2543 N California Ave ,773-772-9357,60647
Starbucks,6738 N Sheridan Rd ,773-743-0417,60626
Starbucks,600 W Lake St ,312-575-0221,60661
Starbucks,515 N State St ,312-836-0351,60654
Starbucks,1588 N Milwaukee Ave ,773-862-0249,60622
Starbucks,3640 N Western Ave ,773-935-9086,60618
Starbucks,111 E Chestnut St ,312-642-3971,60611
Starbucks,414 N Orleans St ,312-467-1173,60654
Starbucks,1157 W Wrightwood Ave ,773-528-3149,60614
Starbucks Coffee,39 S La Salle St ,312-781-0854,60603
Starbucks Coffee,39 W Division St ,312-951-6992,60610
Starbucks Coffee,231 S La Salle St ,312-553-0373,60604
Starbucks Coffee,200 W Adams St ,312-578-9602,60606
Starbucks Coffee,3232 W Foster Ave ,773-279-0650,60625
Starbucks Coffee,200 E Randolph St ,312-240-1602,60601
Starbucks Coffee,564 W Randolph St ,312-612-5465,60661
Starbucks Coffee,4365 W Irving Park Rd ,773-736-5226,60641
Starbucks Coffee,222 Merchandise Mart Plz ,312-661-0443,60654
Starbucks Coffee,2301 S Lake Shore Dr ,312-791-7252,60616
Starbucks Coffee,1001 W North Ave ,312-255-1352,60642
Starbucks Coffee,100 S Halsted St ,312-226-3658,60661
Starbucks Coffee,4830 N Pulaski Rd ,773-282-9503,60630
Starbucks Coffee,3845 N Broadway St ,773-755-4176,60613
Starbucks Coffee,116 S Halsted St ,312-226-3658,60661
Starbucks Coffee,100 S Wacker Dr ,312-759-5559,60606
Starbucks Coffee,1002 W Diversey Pkwy ,773-665-1888,60614
Starbucks Coffee,1700 W Diversey Pkwy ,773-665-8650,60614
Starbucks Coffee,10000 W Ohare Ave ,773-686-6180,60666
Starbucks Coffee,200 N Jefferson St ,312-575-0221,60661
Starbucks Coffee,151 E Randolph St ,312-297-0929,60601
Starbucks Coffee,6623 N Damen Ave ,773-681-9171,60645
Starbucks Coffee,160 W 87th St ,773-651-7623,60620
Starbucks Coffee,1001 W Madison St ,312-421-7073,60607
Starbucks Coffee,171 W Randolph St ,312-332-5298,60601
Starbucks Coffee,1001 W Madison St ,312-421-7073,60607
Starbucks Coffee,2101 W Armitage Ave ,773-486-4771,60647
Starbucks Coffee,1538 N Clark St ,312-337-6481,60610
Starbucks Coffee,6520 S Cicero Ave ,708-728-6505,60638
Starbucks Coffee,161 N Clark St ,312-641-0320,60601
Starbucks Coffee,200 W Madison St ,312-726-6620,60606
Starbucks Coffee,31 E Roosevelt Rd ,312-431-1988,60605
Starbucks Coffee,830 N Michigan Ave ,312-848-7917,60611
Starbucks Coffee,255 E Grand Ave ,312-279-1305,60611
Starbucks Coffee,1154 S Clark St ,312-212-6300,60605
Starbucks Coffee,6312 N Nagle Ave ,773-774-6006,60646
Starbucks Coffee,1599 N Clybourn Ave ,312-787-0168,60642
Starbucks Coffee,21 S Clark St ,312-732-4525,60603
Starbucks Coffee,3549 N Sheffield Ave ,773-327-5096,60657
Starbucks Coffee,4558 N Kedzie Ave ,773-267-1579,60625
Starbucks Coffee,401 E Ontario St ,312-951-7242,60611
Starbucks Coffee,3358 N Broadway St ,773-528-0343,60657
Starbucks Coffee,4446 N Broadway St ,773-596-2376,60640
Starbucks Coffee,68 E Madison St ,312-444-9535,60602
Starbucks Coffee,1 E Delaware Pl ,312-274-9549,60611
Starbucks Coffee,1001 W Armitage Ave ,773-528-1340,60614
Starbucks Coffee,166 W Van Buren St ,312-566-0792,60605
Starbucks Coffee,2529 N Clark St ,773-296-0898,60614
Starbucks Coffee,1230 N Wells St ,312-622-3312,60610
Starbucks Coffee,2112 W Peterson Ave ,773-761-3001,60659
Starbucks Coffee,430 N Clark St ,312-670-3920,60654
Starbucks Coffee,200 E Randolph St ,312-240-1602,60681
Starbucks Coffee,6108 N Western Ave ,773-274-1640,60659
Starbucks Coffee,2063 N Clark St ,773-525-6231,60614
Starbucks Coffee,6075 N Lincoln Ave ,773-279-0513,60659
Starbucks Coffee,828 N State St ,312-751-1676,60610
Starbucks Coffee,30 W Erie St ,312-274-9546,60654
Starbucks Coffee,1245 W Fullerton Ave ,773-327-9761,60614
Starbucks Coffee,150 N Wacker Dr ,312-704-0655,60606
Starbucks Coffee,210 W North Ave ,312-867-0186,60610
Starbucks Coffee,1933 W 103rd St ,773-239-7139,60643
Starbucks Coffee,400 W Madison St ,312-454-1010,60606
Starbucks Coffee,2550 N Clybourn Ave ,773-935-5777,60614
Starbucks Coffee,2656 N Elston Ave ,773-252-1994,60647
Starbucks Coffee,5406 W Devon Ave ,773-631-4791,60646
Starbucks Coffee,6009 N Broadway St ,773-769-2300,60660
Starbucks Coffee,2754 N Clark St ,773-880-5172,60614
Starbucks Coffee,8 N Michigan Ave ,312-750-1454,60602
Starbucks Coffee,70 W Madison St ,312-357-0927,60602
Starbucks Coffee,130 S Canal St ,312-756-9087,60606
Starbucks Coffee,111 W Washington St ,312-372-1331,60602
Starbucks Coffee,42 E Chicago,312-951-6932,60611
Starbucks Coffee,111 N State St ,312-781-4400,60602
Starbucks Coffee,959 W Fullerton Ave ,773-248-0049,60614
Starbucks Coffee,1830 W Fullerton Ave ,773-248-0602,60614
Starbucks Coffee,1500 E 53rd St ,773-324-1241,60615
Starbucks Coffee,5300 N Clark St ,773-728-2777,60640
Starbucks Coffee,2019 W  Chicago,773-799-9000,60622
Starbucks Coffee,66 W Washington St ,312-269-9335,60602
Starbucks Coffee,351 W Hubbard St ,312-467-1173,60654
Starbucks Coffee,633 N Saint Clair St ,312-787-2038,60611
Starbucks Coffee,227 W Monroe St ,312-346-4360,60606
Starbucks Coffee,444 N Michigan Ave ,312-832-9851,60611
Starbucks Coffee,600 N State St ,312-573-0033,60654
Starbucks Coffee,1174 E 55th St ,773-256-1930,60615
Starbucks Coffee,35 W Wacker Dr ,312-541-8317,60601
Starbucks Coffee,8500 W Bryn Mawr Ave ,773-329-2834,60631
Starbucks Coffee,2577 N Elston Ave ,773-227-2936,60647
Starbucks Coffee,175 W Jackson Blvd ,312-566-0792,60604
Starbucks Coffee,3045 N Greenview Ave ,773-832-9080,60657
Starbucks Coffee,4600 N Magnolia Ave ,773-506-4280,60640
Starbucks Coffee,5233 N Lincoln Ave ,773-442-1158,60625
Starbucks Coffee,311 S Wacker Dr ,312-427-7008,60606
Starbucks Coffee,10 S Riverside Plaza,312-441-1919,60606
Starbucks Coffee,3506 S State St ,773-536-3126,60609
Starbucks Coffee,328 N Desplaines St ,312-339-2780,60661
Starbucks Coffee,1430 W Taylor St ,312-492-7370,60607
Starbucks Coffee,303 W Madison St ,312-781-9845,60606
Starbucks Coffee,6350 N Broadway St ,773-274-2638,60660
Starbucks Coffee,131 S Dearborn St ,312-977-0018,60603
Starbucks Coffee,17 E Monroe St Lbby 10 ,312-332-0248,60603
Starbucks Coffee,3184 N Clark St ,773-935-9270,60657
Starbucks Coffee,1340 S Canal St ,312-850-3915,60607
Starbucks Coffee,2543 N California Ave ,773-772-9357,60647
Starbucks Coffee,600 W Lake St ,312-575-0221,60661
Starbucks Coffee,6738 N Sheridan Rd ,773-743-0417,60626
Starbucks Coffee,105 W Adams St ,312-855-0099,60603
Starbucks Coffee,2939 W Addison St ,773-604-7680,60618
Starbucks Coffee,515 N State St ,312-836-0351,60654
Starbucks Coffee,3640 N Western Ave ,773-935-9086,60618
Starbucks Coffee,1588 N Milwaukee Ave ,773-862-0249,60622
Starbucks Coffee,1157 W Wrightwood Ave ,773-528-3149,60614
Starbucks Coffee,414 N Orleans St ,312-467-1173,60654
Starbucks Coffee,3145 S Ashland Ave ,773-247-2633,60608
Starbucks Coffee,1900 W Montrose Ave ,773-878-0272,60613
Starbucks Coffee,4747 N Harlem Ave ,708-402-0974,60706
Starbucks Coffee,225 N Michigan Ave ,312-565-0009,60601
Starbucks Coffee,209 W Jackson Blvd ,312-341-9850,60606
Starbucks Coffee,100 W 100th St ,312-240-1602,60607
Starbucks Coffee,1530 E 53rd St ,773-324-1241,60615
Starbucks Coffee,555 S Dearborn St ,312-922-8910,60605
Starbucks Coffee,1003 N Rush St ,312-951-5436,60611
Starbucks Coffee,835 N Michigan Ave ,312-505-2620,60611
Starbucks Coffee,251 E Huron St ,312-274-1472,60611
Starbucks Coffee,1101 S Canal St ,312-235-0429,60607
Starbucks Coffee,2357 W Howard St ,773-465-6058,60645
Starbucks Coffee,3359 N Southport Ave ,773-975-2071,60657
Starbucks Coffee,1763 W Howard St ,773-761-7022,60626
Starbucks Coffee,1070 W Bryn Mawr Ave ,773-271-1998,60660
Starbucks Coffee,2200 N Halsted St ,773-935-2622,60614
Starbucks Coffee,111 E Chestnut St ,312-642-3971,60611
Starbucks Coffee,11840 S Marshfield Ave ,773-396-5506,60643
Starbucks Coffee,4159 W Peterson Ave ,773-205-7440,60646
Starbucks Coffee,300 E Randolph St ,312-233-0012,60601
Starbucks Coffee,200 S Michigan Ave ,312-431-1757,60604
Starbucks Coffee,108 W Germania Pl ,312-337-6481,60610
Starbucks Coffee,55 E Jackson Blvd ,312-786-9201,60604
Starbucks Coffee,2023 W Roscoe St ,773-281-6272,60618
Starbucks Coffee,151 N Michigan Ave ,312-297-0929,60601
Starbucks Coffee,3356 N Lincoln Ave ,773-871-6888,60657
Starbucks Coffee,202 N Michigan Ave ,312-541-1313,60601
Starbucks Coffee,4557 N Lincoln Ave ,773-878-5609,60625
Starbucks Coffee,139 S Clinton St ,312-756-9087,60661
Starbucks Coffee,1940 W 33rd St ,773-843-9121,60608
Starbucks Coffee,1229 N Clybourn Ave ,312-587-9063,60610
Starbucks Coffee,4553 N Lincoln Ave ,773-878-5609,60625
Starbucks Coffee,1701 W Division St ,773-252-5084,60622
Starbucks Coffee,550 W Van Buren St,312-431-0226,60607
Starbucks Coffee,540 N Michigan Ave ,312-836-0100,60611
Starbucks Coffee,520 N Ogden Ave ,312-850-1617,60642
Starbucks Coffee,750 N Franklin St ,312-274-0092,60654
Starbucks Coffee,2275 N Lincoln Ave ,773-832-4313,60614
Starbucks Coffee,2200 N Clybourn Ave ,773-248-0908,60614
Starbucks Coffee,4433 S Pulaski Rd ,773-579-2120,60632
Starbucks Coffee,1023 W Addison St ,773-929-0945,60613
Starbucks Coffee,25 E Washington St ,312-920-0473,60602
Starbucks Coffee,180 N La Salle St ,312-236-1286,60601
