Name,Address,Phone_Number,Zip_Code
Las Palmas of Wicker Park,1835 West North Avenue ,773-289-4991,60622
Las Pinatas Mexican Food,1552 N Wells St ,312-664-8277,60610
Lel Nuevo Taco Loco,1700 W Lawrence Ave ,773-754-0771,60640
Live Fire Mexican Grill Carbon,2548 S Princeton Ave ,312-631-3317,60616
Los Arcos,5525 N Clark St ,773-334-4332,60640
Los Cabos,3355 N Central Ave ,773-481-9074,60634
Los Comales Mexican Restaurant,3623 S Archer Ave ,773-890-4307,60609
Los Corrales,2881 W Cermak Rd ,773-847-6998,60623
Los Gallos Mexican Restaurant,4252 S Archer Ave ,773-254-2081,60632
Los Girasoles,1012 W 31st St ,773-376-3050,60608
Los Mangos,3551 W 26th St ,773-277-7300,60623
Los Nopales Mexican Restaurant,4544 N Western Ave ,773-334-3149,60625
Los Panchos Restaurant,4147 W 63rd St ,773-581-0821,60629
Los Portales,3919 W North Ave ,773-227-0705,60647
Los Potrillos,3624 W Belmont Ave ,773-267-2033,60618
Los Tres Hermanos,2858 S Pulaski Rd ,773-762-5921,60623
Lunada Mexican Grill,4888 S Archer Ave ,773-376-3613,60632
Macho Taco,1723 N Ashland Ave ,773-278-8030,60622
Maria's Mexican Restaurant,9440 W Foster Ave ,847-260-5878,60656
Maria's Taco,1134 W 87th St ,312-733-3543,60290
Mario's Tacos,4540 W 63rd St ,773-582-8226,60629
Mayan Palace Mexican Cuisine,2703 North Halsted Street ,773-935-4200,60614
Mexico Portas & Tacos,1008 S Western Ave ,773-542-1705,60290
Mi Fogata,4322 North Western Avenue ,872-208-5710,60618
Mi Rancho Mexican Restaurant,1069 Jason Pl ,217-697-8642,60619
Mi Taqueria Ochoa,2320 N Cicero Ave ,773-887-3487,60639
Mi Tierra,2528 S Kedzie Ave ,773-254-7722,60623
Mi Tierra Restaurant,1039 W Belmont Ave ,773-929-7955,60657
Miguel Mexican Grill,3810 N Central Ave ,773-283-7929,60634
Mr Pollo,3000 W Belmont Ave ,773-509-1208,60618
Mr Pollo,3026 W Belmont Ave ,773-509-1208,60618
Mr Pollo,5222 W Diversey Ave ,773-282-4743,60639
O'Manny's Mexican Restaurant,3641 West Irving Park Road ,773-516-4000,60618
Pacos Tacos 2,6034 S Pulaski Rd ,773-582-4244,60629
Papi's Tacos,2322 W Taylor St ,312-829-3001,60612
Paradise Cantina,1212 N State Pkwy ,312-202-0994,60610
Paradise Cantina,2015 W Division St ,773-227-1110,60622
Paridise Cantina,2015 W Division St ,773-227-1110,60622
Patron Mexican Grill,6832 W Archer Ave ,773-229-8005,60638
Pepe's Mexican Food,1310 E 53rd St ,773-752-9300,60615
Pepe's Mexican Restaurant,2014 E 87th St ,773-374-3388,60617
Pepe's Mexican Restaurant,8313 S Cottage Grove Ave ,773-488-5576,60619
Pepe's Mexican Restaurant,7026 W Archer Ave ,773-586-5415,60638
Pepe's Mexican Restaurants,11227 S State St ,773-928-9069,60628
Pepe's Mexican Restaurants,4610 N Harlem Ave ,708-867-4072,60706
Pepe's Mexican Restaurants,11652 S Western Ave ,773-881-8142,60643
Pepe's Mexican Restaurants,2014 E 87th St ,773-374-3388,60617
Pepe's Mexican Restaurants,7026 W Archer Ave ,773-586-5415,60638
Pepe's Mexican Restaurants,8313 S Cottage Grove Ave ,773-488-5576,60619
Pepe's Mexican Restaurants,8227 S Exchange Ave ,773-768-8740,60617
Pepe's Mexican Restaurants,6230 S Western Ave ,773-737-1628,60636
Pepe's Mexican Restaurants,131 E 79th St ,773-994-1525,60619
Pepe's Mexican Restaurants,954 W 87th St ,773-488-4026,60620
Pepe's Restaurant,3233 W 63rd Pl ,773-778-6673,60629
Pepe's Restaurant,4820 S Cicero Ave ,773-767-9600,60638
Pepe's Tacos,4743 W Grand Ave ,773-622-0612,60639
Pepes Mexican Restaurant,3131 E 79th St ,773-994-1525,60619
Pepes Mexican Restaurants,2102 W Cermak Rd ,312-247-1979,60608
Pollo Campero,4830 N Pulaski Rd Ste 102 ,773-282-1966,60630
Pollo Campero,2730 N Narragansett Ave ,773-622-6657,60639
Puebla Restaurant,2658 N Milwaukee Ave ,773-227-5499,60647
Punta Cana Restaurant,2200 N Kimball Ave ,773-278-7586,60647
QDOBA Mexican Eats,175 W Jackson St ,888-736-2224,60604
QDOBA Mexican Eats,5700 S Maryland Ave Hyde Park ,773-926-1365,60637
QDOBA Mexican Eats,58 E Randolph St ,888-736-2224,60601
QDOBA Mexican Eats,100 N Lasalle St ,888-736-2224,60602
QDOBA Mexican Eats,957 W Diversey Pkwy ,888-736-2224,60614
Qdoba Mexican Grill,328 N Michigan Ave ,312-419-8437,60601
Qdoba Mexican Grill,2191 N Clybourn Ave ,773-472-6374,60614
Qdoba Mexican Grill,58 E Randolph St ,312-629-1190,60601
Qdoba Mexican Grill,100 N La Salle St Frnt 1 ,312-578-8358,60602
Qdoba Mexican Grill,175 W Jackson Blvd Lbby 18 ,312-212-1201,60604
Qdoba Mexican Grill,957 W Diversey Pkwy ,773-868-0213,60614
Qdoba Mexican Grill,2427 N Lincoln Ave ,773-868-3385,60614
Qdoba Mexican Grill,227 E Ontario St Ste C ,312-280-7508,60611
Qdoba Mexican Grill,20 E Chicago,312-915-0953,60611
Que Rico,2814 N Southport Ave ,773-975-7436,60657
Quesadilla La Reina Dell Sur,2335 N Western Ave ,773-235-8807,60647
Ricano's Restaurant,230 South Ashland Avenue ,312-666-7253,60607
ROJO GUSANO,4217 North Ravenswood Avenue ,773-360-1628,60613
ROJO GUSANO,3830 West Lawrence Avenue ,773-724-1605,60625
Rokito's,1111 W Wilson Ave ,773-561-5500,60640
Rosas Tamales,5632 S Kedzie Ave ,773-863-0646,60629
Sabroso Mexican Grill,941 N Damen Ave ,773-253-5001,60622
Salsa Picante,949 North Western Avenue ,773-904-8406,60622
Salsaseria Grill & Cantina,233 S Wacker Dr ,312-756-1770,60606
Senor Mariachi Mexican Restaurant,5004 N Sheridan Rd ,773-334-4444,60640
Slugos Tacos,537 E 79th St ,773-891-5997,60619
Sol De Mexico,4600 S Ashland Ave ,773-940-1145,60609
South Side Taco,7820 S Ashland Ave ,773-488-3909,60620
Super Burrito,1502 N Western Ave ,773-486-4195,60622
Supreme Tamale Company,5813 W Grand Ave ,773-622-3777,60639
T N T Mexican Restaurant,8929 S Commercial Ave ,773-768-4153,60617
Taco & Burrito Express,2540 N Halsted St ,773-929-8867,60614
Taco & Burrito House,3038 N Broadway St ,773-529-2624,60657
Taco & Burrito House,2430 N Central Ave ,773-622-6926,60639
Taco & Burrito House,1548 W Fullerton Ave ,773-665-8389,60614
Taco & Burrito House,3939 N Broadway St ,773-871-8988,60613
Taco Bell,1111 West Addison ,773-281-4937,60613
Taco Bell,7856 S. Stoney Island Ave ,773-221-5182,60649
Taco Bell,6944 Archer ,773-586-5455,60638
Taco Bell,6622 W. Fullerton Ave. ,773-237-4661,60639
Taco Bell,6460 N Sheridan Road ,773-892-2032,60626
Taco Bell,3511 Devon Avenue ,773-588-9712,60659
Taco Bell,3509 N Harlem ,773-685-7066,60634
Taco Bell,3350 W. Roosevelt Rd ,773-826-9324,60624
Taco Bell,3143 N Milwaukee Ave ,773-539-2762,60618
Taco Bell,2807 W Irving Park Rd ,773-267-0071,60618
Taco Bell,2575 North Clybourn ,773-281-5156,60614
Taco Bell,1644 W 95th St ,773-779-5600,60643
Taco Bell,1439 N Milwaukee Avenue ,773-661-2607,60622
Taco Bell,1323 Sibley Boulevard Dolton ,219-314-3690,60419
Taco Bell,3365 S Martin Luther King Drive ,312-796-5602,60653
Taco Bell,2432 N Milwaukee Ave ,773-697-7809,60647
Taco Bell,2410 S Western Ave ,773-475-7502,60608
Taco Bell,6631 South Cicero ,773-498-2642,60638
Taco Bell,4523 W North Ave. ,773-645-0351,60639
Taco Bell,920 W Belmont Ave ,872-210-0759,60657
Taco Bell,7906 S. Western Avenue ,773-424-3609,60620
Taco Bell Cantina,178 North Wabash Ave ,312-578-8751,60601
Taco Bell Cantina,205 E Ohio Street ,312-846-6614,60611
Taco Bell Cantina,407 S. Dearborn ,773-904-2737,60605
Taco Bueno,2057 W Cermak Rd ,773-376-5109,60608
Taco Burrito King,5413 W Belmont Ave ,773-777-6200,60641
Taco Burrito King,811 W Jackson Blvd ,312-831-0400,60607
Taco Burrito King,5601 S Harlem Ave ,773-586-9800,60638
Taco Burrito King,5509 N Harlem Ave ,773-467-0692,60656
Taco Burrito King,405 S Wells St ,312-583-0000,60607
Taco Burrito King,5421 N Lincoln Ave ,773-516-4084,60625
Taco Burrito King,114 W Chicago,312-265-1479,60654
Taco Burrito King,3216 N Harlem Ave ,773-637-3200,60634
Taco Burrito King Il,5601 S Harlem Ave,773-586-9800,60638
Taco El Jalisciense,3452 S Western Ave ,773-523-3452,60608
Taco Fresco,23 E Adams St ,312-939-2877,60603
Taco Fresco,151 N Michigan Ave Ste C43 ,312-565-1444,60601
Taco Fresco,29 N Wacker Dr Ste 2 ,312-920-0077,60606
Taco Fresco,180 N Wells St ,312-917-1007,60606
Taco Fresco,1455 W Taylor St ,312-563-9090,60607
Taco Joe Inc,3458 W 111TH St ,773-429-0515,60655
Taco Joint,158 W Ontario St ,312-337-8226,60654
Taco Joint,1969 N Halsted St ,312-951-2457,60614
Taco Max,4009 North Elston Avenue ,773-942-6397,60618
Taco Mex,10658 S Torrence Ave ,773-734-4321,60617
Taco Rico,6407 N Bell Ave ,773-274-1073,60645
Taco Taco On Pulaski,283 N Pulaski Rd ,773-826-8226,60624
Taco Time,5130 S Lake Park Ave ,773-324-8084,60615
Taco Y Tequila,1969 N Halsted St ,312-951-2961,60614
Taco's Deluna,2255 W Taylor St ,312-666-5948,60612
Taco's Marios,4256 W Fullerton Ave ,773-278-8944,60639
Tacos Marios,6330 S Pulaski Rd ,773-735-3016,60629
Tanzitaro Mexican Restaurant,6075 N Milwaukee Ave ,773-792-1100,60646
Taqueria Arandas,3443 W 26th St ,773-521-9095,60623
Taqueria Cardona,1451 W 18th St ,312-492-8059,60608
Taqueria Chile Bravo,2128 W Cermak Rd ,773-475-7651,60608
Taqueria Cielito Lindo,6952 N Clark St ,773-274-0166,60626
Taqueria Don Pancho,1943 W 51st St ,773-306-1418,60609
Taqueria Don Robe,3614 E 106th St ,773-731-8131,60617
Taqueria El Aguila,5957 W ,773-261-3625,60651
Taqueria El Gallo,3532 W Montrose Ave ,773-267-1834,60618
Taqueria El Pastor,4418 W 63rd St ,773-284-1003,60629
Taqueria El Pilon,8121 S Pulaski Rd ,773-767-4566,60652
Taqueria El Ranchito,4651 N Clark St ,773-334-6441,60640
Taqueria El Ranchito,2829 N Milwaukee Ave ,773-227-1688,60618
Taqueria El Rincon,3353 N Central Ave ,773-481-9074,60634
Taqueria El Taco To Go,8346 S Pulaski Rd ,773-585-8040,60652
Taqueria El Tapatio,4238 W Fullerton Ave ,773-278-1468,60639
Taqueria El Tenampa,5315 S Pulaski Rd ,773-735-8109,60632
Taqueria Gonzalez,10148 S Ewing Ave ,773-902-2964,60617
Taqueria Hernandez,6983 N Clark St ,773-274-1519,60626
Taqueria Huentitan,4019 W North Ave ,773-276-0768,60639
Taqueria La Fiesta,2701 N Central Ave ,773-804-1616,60639
Taqueria La Fiesta,2700 N Central Ave ,773-804-1616,60639
Taqueria La Hacienda,3452 W 59th St ,773-778-1000,60629
Taqueria La Puerta,5620 S Pulaski Rd ,773-581-8800,60629
Taqueria Las Brasas,2910 W Armitage Ave ,773-342-4413,60647
Taqueria Los Comales,3048 W 63rd St ,773-776-4764,60629
Taqueria Los Comales,2148 N Milwaukee Ave ,773-276-0627,60647
Taqueria Los Comales,1544 W 18th St ,312-666-2251,60608
Taqueria Los Comales,3141 W 26th St ,773-523-1689,60623
Taqueria Los Comales,6035 S Pulaski Rd ,773-838-1977,60629
Taqueria Los Gallo,4211 W 26th St ,773-762-7452,60623
Taqueria Los Gallo,6220 S Archer Ave ,773-585-8835,60638
Taqueria Los Gavilanes,2147 S California Ave ,773-376-3455,60608
Taqueria Mano A Mano,3036 N Pulaski Rd ,773-736-1617,60641
Taqueria Miguadalupe,7021 N Clark St ,773-338-8644,60626
Taqueria Morelia,3943 W Lawrence Ave ,773-509-1727,60625
Taqueria Ochoa,4151 W 47th St ,773-376-5330,60632
Taqueria Sacramento,10148 S Ewing Ave ,773-221-9440,60617
Taqueria San Juanito,4714 N Kedzie Ave ,773-583-0304,60625
Taqueria Valparaiso,10500 S Western Ave ,773-238-3982,60643
Tecalitlan Restaurant,1814 W Chicago,773-384-4285,60622
Thai & Burrito,2439 N Clark St ,773-549-5329,60614
Tio Luis Tacos,3856 South Archer Avenue ,773-843-0098,60632
Tiztal Café,4631 North Clark Street ,773-271-4631,60640
Tolotzin Mexican Restaurant N Restaura,4411 N Broadway St ,773-944-4300,60640
Tom Tom Tamale & Bakery Co,4750 S Washtenaw Ave ,773-523-5675,60632
Tono Tacos,6102 W Diversey Ave ,773-887-5814,60639
Tony's Tacos,3508 W 63rd St ,773-424-0056,60629
Towns Limits Cantina,1838 W Lawrence Ave ,773-989-6894,60640
Uncle Julio's,855 W North Ave ,312-266-4222,60642
Uncle Julios Fine Mexican Food,855 W North Ave ,312-266-4222,60642
Viva Mexico,3115 W 26th St ,773-376-4967,60623
Xoco,449 N Clark St ,312-334-3688,60654
Xocome Antojeria,5200 South Archer Avenue ,773-498-6679,60632
Yolis Tacos,2640 W Chicago,872-802-4544,60622
Zapatista,444 W Fullerton Pkwy ,773-525-4100,60614
Zemba Mexican Grill,605 W Lake St ,312-234-9900,60661
