Name,Address,Phone_Number,Zip_Code
Garden Chop Suey,609 E 79th St  ,773-488-2311,60619
Golden Chef Chinese Kitchen,3262 W North Ave  ,773-772-6719,60647
Golden Wok,5731 N Central Ave  ,773-631-8884,60646
Great Wall Chinese Restaurant,6748 N Sheridan Rd  ,773-465-5815,60626
Great Wall Chinese Restaurant,5032 S State St  ,773-451-0858,60609
Ho Ho Restaurant,7908 S Halsted St ,773-723-4993,60620
Hoe Toy Chop Suey,8559 S Stony Island Ave  ,773-768-8557,60617
Hong Kong Buffet,6249 N McCormick Rd  ,773-649-0888,60659
Hong Kong Chef,4104 N Sheridan Rd  ,773-388-8646,60613
Hong Kong Express,2703 W Cermak Rd  ,773-376-7833,60608
Hot Wok,10611 S Ewing Ave  ,773-731-8213,60617
Hua's Chop Suey Express,3014 E 91st St  ,773-375-1800,60617
Hunan Wok,3411 W Bryn Mawr Ave  ,773-539-9650,60659
Jade Palace,2551 S Kedzie Ave  ,773-523-1119,60623
King Kong Chinese Food,1544 W 69th St  ,773-737-0333,60636
King Wah Express,700 E Grand Ave Ste 120  ,312-670-8429,60611
Kowloon Restaurant,7403 W Irving Park Rd  ,773-625-3605,60634
Lee's Wok,1437 W Montrose Ave  ,773-388-9978,60613
Lee's Wok,5808 W North Ave  ,773-637-8863,60639
Leung's Chop Suey,5713 W Irving Park Rd ,773-545-4188,60634
Li Hing,5754 W Belmont Ave  ,773-283-5838,60634
Lin's Garden,3306 W Fullerton Ave  ,773-342-0760,60647
Lins Garden Of Chicago,3925 W Lawrence Ave  ,773-539-3388,60625
Manchu Wok,10000 W Ohare Ave  ,773-686-6180,60666
Manchu Wok,7601 S Cicero Ave  ,773-585-6775,60652
Mayflower Chinese Restaurant,2225 S Wentworth Ave  ,312-808-1322,60616
Mei Shun Tofu Products Co,523 W 26th St  ,312-842-7000,60616
Mo's Asian Bistro,1353 W Fullerton Ave ,773-248-1758,60614
Monica Beauty Salon,5695 N Lincoln Ave  ,773-878-5888,60659
Moy Lee Chinese Restaurants,5346 N Milwaukee Ave  ,773-631-1290,60630
Mr Ging Chop Suey,3549 N Central Ave  ,773-481-1323,60634
New Asia,2705 W Lawrence Ave  ,773-728-2406,60625
New China,7310 W Foster Ave  ,773-792-8888,60656
New China,3246 W Addison St  ,773-279-8889,60618
New China 23,533 N Western Ave  ,773-388-1777,60618
New China Express,1418 W Fullerton Ave  ,773-488-3838,60614
New China Express,1418 W Fullerton Ave  ,773-488-3838,60290
New China Express,2101 E 71st St  ,773-288-0888,60649
New China Wok,752 W Garfield Blvd  ,773-373-2988,60609
New Choice China Wok,10341 S Halsted St  ,773-298-9988,60628
New Chop Suey,9119 S Commercial Ave  ,773-978-1583,60617
New Grand Chinese Kitchen,5401 S Wentworth Ave  ,773-536-8282,60609
New Tea Garden Chop Suey,11342 S Michigan Ave  ,773-468-0748,60628
Newstar Cantonese Foods,2712 W Touhy Ave  ,773-743-2777,60645
Number 1 Chop Suey,4307 W Irving Park Rd  ,773-725-1199,60641
Old China Buffet,4616 W Diversey Ave ,773-283-6888,60639
Oriental Chef,901 W 87th St  ,773-783-2898,60620
Oriental Chop Suey,1820 W 95th St  ,773-779-3979,60643
Oriental Express Ltd,233 E Wacker Dr ,312-938-1118,60601
P.F. Chang's,530 N Wabash Ave ,312-828-9977,60611
Panda Express,6501 S Cicero Ave  ,773-581-6987,60638
Panda Express,2949 W Addison St  ,773-267-1839,60618
Panda Express,29 E Madison St,312-201-9866,60602
Panda Express,180 N Wabash Ave ,312-419-1543,60601
Panda Express,9529 S Western Ave  ,773-779-9226,60643
Panda Express,6201 N Lincoln Ave  ,773-478-6870,60659
Panda Express,130 E Randolph St ,312-946-1670,60601
Panda Express,100 W Randolph St ,312-422-0422,60601
Panda Express,515 S State St  ,312-663-6617,60605
Panda Express,113 S Clinton St  ,312-258-1574,60661
Panda Express,3000 W 26th St  ,773-376-8088,60623
Panda Express,1730 W Fullerton Ave ,773-935-6128,60614
Panda Express,110 W Monroe St  ,312-558-9106,60603
Panda Express,520 N Michigan Ave ,312-527-3241,60611
Panda Express,77 E Adams St Ste 130  ,312-986-1043,60603
Panda Express,209 W Jackson Blvd  ,312-588-1572,60606
Panda Express,500 W Madison St  ,312-876-9667,60661
Panda Express,1654 W 119th St  ,773-821-0262,60643
Panda Express,1830 W Fullerton Ave  ,773-935-6128,60614
Peking Chinese Food,129 W North Ave  ,312-951-7207,60610
Peking Chinese Food,3167 N Halsted St  ,773-281-5435,60657
Plenty Chinese Restaurant,2002 W Montrose Ave  ,773-728-5969,60618
Rice Café,2203 N Clybourn Ave  ,872-808-2920,60614
See Thru Chinese Kitchen,7118 S Western Ave  ,773-778-2888,60636
See Thru Chinese Kitchen,800 N Kedzie Ave ,773-826-0488,60651
See Thru Chinese Kitchen,5249 W Madison St  ,773-626-9252,60644
See Thru Chinese Kitchen,7613 S Jeffery Blvd  ,773-731-1828,60649
See Thru Chinese Kitchen,1610 W 59th St  ,773-778-3888,60636
See Thru Chinese Kitchen,6046 S Western Ave  ,773-776-8882,60636
See Thru Chinese Kitchen,4318 S Ashland Ave  ,773-927-9898,60609
See Thru Chinese Kitchen,5609 W Division St  ,773-287-8883,60651
See Thru Chinese Kitchen,10939 S Western Ave  ,773-238-9898,60643
See Thru Chinese Kitchen,9442 S Lafayette Ave  ,773-785-5383,60620
See Thru Chinese Kitchen,1651 W Roosevelt Rd ,312-733-3888,60608
See Thru Chinese Kitchen,5044 S Cottage Grove Ave  ,773-624-9898,60615
See Thru Chinese Kitchen,5012 N Pulaski Rd  ,773-202-8238,60630
See Thru Chinese Kitchen,6700 S Stony Island Ave  ,773-752-6862,60649
Seven Stars Chinese Restaurant,3209 W 47th Pl  ,773-254-3131,60632
Shanghai Inn,4723 N Damen Ave  ,773-561-3275,60625
Sky Chop Suey,8616 S Kedzie Ave  ,773-778-6970,60652
Sky Lake Chinese's Kitchen,1002 N Clark St  ,773-821-8688,60290
Sun Wah Bbq,5039 N Broadway ,773-769-2171,60607
Sun Wah Bbq,5041 N Broadway St  ,773-769-1254,60640
Tai Chinese Restaurant,1512 N La Salle Dr  ,312-867-7297,60610
TAO Chicago,632 Dearborn Street  ,224-888-0388,60654
Tasty China,3315 W North Ave  ,773-292-6389,60647
The Chinese Kitchen,420 W 31st St  ,312-842-8996,60616
The Great Wall Restaurant,2127 S China Pl  ,312-808-9686,60616
The Hong Kong Restaurant,2757 W 55th St  ,773-436-7250,60632
Top Wok,58 E Ontario St  ,312-202-0808,60611
Wing Wah Lau Restaurant,4340 S Archer Ave  ,773-247-1663,60632
Wok Fusion,2801 W Howard St  ,773-274-2826,60645
Wok N Roll,1408 E 53rd St  ,773-643-3500,60615
Wok This Way,6607 S Cicero Ave  ,708-929-4549,60638
Woks 'n' Things Inc,2234 S Wentworth Ave  ,312-842-0701,60616
Wong Yee,1122 W 95th St  ,773-238-1863,60643
Yun Noodle Corp,201 N Wells St  ,312-332-6878,60606
Zhuo Jing Luo,2224 S Archer Ave  ,312-842-2168,60616
Green Tea Japanese Restaurant,2206 N Clark St  ,773-883-8812,60614
Gyu Kaku,1364 W Randolph St  ,312-624-9863,60607
Gyu Kaku,210 E Ohio St  ,312-266-8929,60611
Hanabi Japanese Restaurant,806 W Webster Ave  ,773-935-3474,60614
Izakaya Mita,1960 North Damen Avenue  ,773-799-8677,60647
Kabuki Japanese Restaurant,2473 N Clark St  ,773-975-7033,60614
Katsu Japanese Restaurant,2649 W Peterson Ave  ,773-784-3383,60659
Kikuya Japanese Restaurant,1601 E 55th St  ,773-667-3727,60615
Kizuki Ramen & Izakaya,1482 N Milwaukee Ave  ,773-270-4150,60622
Kizuki Ramen & Izakaya,1538 N Clybourn Ave  ,312-631-3165,60610
Kohan Japanese Restaurant,730 W Maxwell St  ,312-421-6254,60607
Midori Japanese Restaurant,3310 W Bryn Mawr Ave  ,773-267-9733,60659
Mushashi Japanese Restaurant,6248 N California Ave  ,773-465-7660,60659
Sakae Sushi,2920 N Clark St  ,773-388-1818,60657
Sarku Japan,7601 S Cicero Ave  ,773-735-3977,60652
Sushi Lounge,234 W Cermak Rd  ,312-326-9168,60616
TAO Chicago,632 Dearborn Street  ,224-888-0388,60654
Zoku Sushi & Thai,1616 N Kedzie Ave  ,773-227-1616,60647
Ai Sushi & Lounge,358 W Ontario St  ,312-335-9888,60654
Anna's Asian Grill,1806 W Irving Park Rd  ,773-975-3404,60613
Cafe Sushi,1342 N Wells St  ,312-337-0700,60610
Chen's Chinese & Sushi,3506 N Clark St  ,773-549-9100,60657
Diva,3542 N Halsted St  ,773-857-0571,60657
Friends Sushi On State,804 N State St  ,312-643-1219,60610
Fugu Tei Sushi Restaurant Inc,1925 W Foster Ave  ,872-241-4194,60640
Fuji Hibachi & Sushi Inc,5645 W Belmont Ave  ,773-836-8811,60634
Fuji Sushi Buffet,3026 N Ashland Ave  ,773-327-7000,60657
Godzilla Sushi,4945 N Milwaukee Ave  ,773-283-8190,60630
Hot Woks Cool Sushi,300 W Adams St  ,312-220-0011,60606
Hot Woks Cool Sushi,30 S Michigan Ave  ,312-345-1234,60603
Hot Woks Cool Sushi,3930 N Pulaski Rd  ,773-282-1818,60641
Hot Woks Cool Sushi,2032 W Roscoe St  ,773-880-9800,60618
Hot Woks Cool Sushi Roscoe,2032 W Roscoe St  ,773-880-9800,60618
I Love Sushi,869 N Larrabee St  ,312-573-0123,60610
I Love Sushi,233 N Michigan Ave ,312-228-0500,60601
Ichiban Sushi Café,1422 W Taylor St ,312-243-9388,60607
Itto Sushi,2616 N Halsted St  ,773-871-1800,60614
Kai Sushi,1255 S State St ,312-583-0567,60605
Kai Sushi,1406 W Grand Ave ,312-733-9083,60642
Koho Sushi Bar,2829 W Armitage Ave  ,773-235-2199,60647
Kyoto Sushi Restaurant,401 W Fullerton Pkwy  ,773-477-2788,60614
Kyu Sushi,939 N Ashland Ave ,773-772-5985,60622
Lou Finn,1952 W North Ave  ,773-394-7373,60622
Miku Sushi,4514 N Lincoln Ave  ,773-961-7895,60625
Mo's Asian Bistro,1353 W Fullerton Ave ,773-248-1758,60614
Mon Sushi,2441 N Clark St  ,773-529-8812,60614
Naoki Sushi,2300 N Lincoln Park W ,773-868-0002,60614
Nori Sushi Bar,1393 N Milwaukee Ave  ,773-292-9992,60622
P.F. Chang's,530 N Wabash Ave ,312-828-9977,60611
Papajin Chinese & Sushi Bar,1551 N Milwaukee Ave  ,773-384-9600,60622
Pokeworks,79 E Madison St  ,312-868-0261,60602
Ra Sushi Bar Restaurant,1139 N State St  ,312-274-0011,60610
Ryo Sushi,62 E Madison St  ,312-409-8888,60602
Sakae Sushi,2920 N Clark St  ,773-388-1818,60657
Sushi Burrito,2904 N Broadway St  ,773-661-1163,60657
Sushi Loop8,10 W Jackson Blvd  ,312-714-1234,60607
Sushi Luxe,5204 N Clark St  ,773-334-0770,60640
Sushi Samba Rio,504 N Wells St  ,312-595-2300,60654
Sushi Taiyo,58 E Ontario St  ,312-440-1717,60611
Sushi Taku,1904 W Division St  ,773-252-8258,60622
Sushi Wabi,842 W Randolph St  ,312-563-1224,60607
Sushi X,1136 W Chicago Ave  ,312-491-9232,60642
Sushi X,543 W Diversey Pkwy  ,773-248-1808,60614
Sushi x,543 W Diversey Pkwy  ,773-248-1808,60614
Sushi x,1136 W Chicago Ave  ,312-491-9232,60642
Tank Sushi,4514 N Lincoln Ave  ,773-769-2600,60625
TAO Chicago,632 Dearborn Street  ,224-888-0388,60654
Kimura Sushi,1422 W Taylor St  ,312-837-3108,60607
Torilla King Sushi,1408 W Diversey Pkwy  ,773-687-9027,60614
Toro Sushi,2546 N Clark St  ,773-348-7255,60614
Toro Sushi Express,201 N Clark St  ,312-781-6991,60601
Ukai Sushi,1059 W Belmont Ave  ,773-868-9900,60657
Umami Sushi,4626 N Cumberland Ave  ,773-589-9928,60656
Wicker Park Seafood & Sushi Bar,10000 W Ohare Ave  ,773-686-6180,60666
Yuzu Sushi And Robato Grill,1751 W Chicago Ave  ,312-265-1289,60622
Amarit Thai Restaurant,600 S Dearborn St ,312-939-1179,60605
Aroy Thai Restaurant,4654 N Damen Ave  ,773-275-8360,60625
Bangkok Café, II9 W Hubbard St  ,312-322-1178,60654
Bangkok Thai Cuisene,6144 N Lincoln Ave  ,773-463-7034,60659
Dao Thai Restaurant,230 E Ohio St  ,312-337-0000,60611
Herb,5424 North Broadway Street  ,773-678-3792,60640
Kates Thai Kitchen,1132 N Ashland Ave  ,773-360-1226,60622
Kin Sushi And Thai Cuisine,1134 N Milwaukee Ave  ,773-772-2722,60642
Manee Thai Restaurant,1546 W Chicago Ave  ,312-733-3339,60642
Manee Thai Restaurant,3558 N Pulaski Rd  ,773-725-9991,60641
My Thai Restaurant,333 S State St  ,312-986-0999,60604
New Thai Kitchen,1513 W Irving Park Rd  ,773-472-9090,60613
Nine Thai Cuisine,2349 N Clark St  ,773-360-7087,60614
Opart Thai House,4658 N Western Ave  ,773-219-0851,60625
Opart Thai House,1906 S State St  ,312-488-1735,60616
Opart Thai House Restaurant,4658 N Western Ave  ,773-938-0593,60625
Opart That House,1904 S State St  ,312-255-7890,60616
P S Bangkok,3345 N Clark St  ,773-871-7777,60657
P S Bangkok Restaurant,2521 N Halsted St  ,773-348-0072,60614
Penny's Noodle Shop,3400 N Sheffield Ave  ,773-281-8222,60657
Penny's Noodle Shop,1542 N Damen Ave  ,773-394-0100,60622
Penny's Noodle Shop,950 W Diversey Pkwy  ,773-281-8448,60614
Ploy Thai,6247 W Touhy Ave  ,773-647-1707,60646
Red Pepper Thai Restaurant,2819 N Lincoln Ave  ,773-435-1215,60657
Royal Thai Restaurant,2209 W Montrose Ave  ,773-509-0007,60618
Siam Restaurant,1639 E 55th St  ,773-324-9296,60615
Siam Thai Cuisine,1641 E 55th St  ,773-324-9296,60615
Thai Aree House,3592 N Milwaukee Ave  ,773-725-6751,60641
Thai Elephant,5348 W Devon Ave  ,773-467-1168,60646
Thai Spice Restaurant,1320 W Devon Ave  ,773-973-0504,60660
Thai Spoon,601 S Wabash Ave  ,312-427-9470,60605
Thai Urban Kitchen,500 W Madison St  ,312-575-0491,60661
Thai Village,2053 W Division St  ,773-384-5352,60622
Vong Thai Kitchen,6 W Hubbard St  ,312-644-8664,60654
Del Seoul,2568 N Clark St  ,773-248-4227,60614
Forastero,449 W North Ave  ,312-265-0322,60610
Soo Jung Korean Restaurant,5800 N Lincoln Ave  ,773-275-0489,60659
Pho Luon,1114 W Argyle St ,773-334-4500,60640
Pho Lily,5100 N Broadway St ,773-754-8057,60640
Pho Viet,4941 N Broadway St ,773-769-1284,60640
Lc Pho,2739 W Lawrence Ave ,872-208-7606,60625
Pho Xua Restaurant,1020 W Argyle St ,773-271-9828,60640
Pho Hoa,4925 N Broadway St ,773-293-6965,60640
Big Pho Inc,3737 W Lawrence Ave ,773-478-8282,60625
Pho And I,2932 N Broadway St ,773-549-5700,60657
Pho Xe Lua,1021 W Argyle St ,773-275-7512,60640
Pho Tau Bay,1010 W Argyle St ,773-878-8820,60640
Pho Xe Tank Restaurant,4953 N Broadway St ,773-878-2253,60640
Van Phat Chinese Restaurant,2750 N Kimball Ave ,773-342-5222,60647
Khyber Pass Restaurant,233 E Wacker Dr ,312-856-1810,60601
Crazy Pot Restaurant,2002 S Wentworth Ave ,312-225-8892,60616
Fung's Chop Suey,1400 E 47th St,773-924-2328,60653
New Happy Chop Suey,3901 S California Ave ,773-927-9228,60632
Chop Suey Kitchen,5353 W Madison St ,773-379-0311,60644
Ming Chop Suey,7114 S Yates Blvd ,773-752-6588,60649
Leung's Chop Suey,5713 W Irving Park Rd ,773-545-4188,60634
New China Chop Suey,5751 W Division St ,773-626-6084,60651
1 Chop Suey,7342 S Stony Island Ave ,773-643-3888,60649
NO1 Chop Suey,1907 W 87th St ,773-881-0808,60620
1st Chop Suey,5845 S Archer Ave ,773-767-0060,60638
1 Chop Suey,2308 E State St ,708-868-9668,60633
King's Chop Suey,4635 W 63rd St ,773-838-1238,60629
Chop Suey Huang,5202 N Lincoln Ave ,773-561-8888,60625
Oriental Chop Suey,1820 W 95th St ,773-779-3979,60643
Kams Chop Suey,1 E 83rd St ,773-994-8807,60619
Chop Suey Loh,3825 S Archer Ave ,773-523-3951,60632
Hoe Toy Chop Suey,8559 S Stony Island Ave ,773-768-8557,60617
Number 1 Chop Suey,4307 W Irving Park Rd ,773-725-1199,60641
Wayne Moy Chop Suey,6101 W 63rd St ,773-586-0450,60638
Sky Chop Suey,8616 S Kedzie Ave ,773-778-6970,60652
Chan's Chop Suey,10241 S Western Ave ,773-445-2077,60643
Chop Suey Express,5200 S Pulaski Rd ,773-735-3787,60632
1 Chop Suey,2550 W Addison St ,773-883-8808,60618
Elaine's Chop Suey,4512 S Damen Ave ,773-927-4801,60609
King's Chop Suey,4739 W 63rd St ,773-838-1238,60629
Lee's Chop Suey,2415 W Diversey Ave ,773-342-7050,60647
Garden Chop Suey,609 E 79th St ,773-488-2311,60619
Hua's Chop Suey Express,3014 E 91st St ,773-375-1800,60617
New Chop Suey,9119 S Commercial Ave ,773-978-1583,60617
71st Chop Suey,510 E 71st St ,773-488-5488,60619
